net,length_um
net252,184.73µm
net409,184.685µm
cnn_inst.comm_mem_u0.o_img_row04\[10\],184.66µm
net157,184.625µm
net183,184.53µm
net958,184.515µm
net779,184.19µm
cnn_inst.comm_mem_u0.o_img_row06\[22\],183.69µm
_01321_,183.245µm
net62,183µm
_04019_,182.93µm
net139,182.895µm
net880,182.845µm
net510,182.435µm
net912,182.125µm
net564,182.085µm
net184,182.065µm
net210,182µm
net40,181.875µm
net20,181.71µm
_03518_,181.7µm
_04783_,181.595µm
net651,181.41µm
_06086_,181.29µm
net374,181.055µm
net124,180.91µm
_04352_,180.69µm
net378,180.42µm
net881,179.875µm
cnn_inst.comm_mem_u0.o_img_row03\[10\],179.81µm
net274,179.68µm
cnn_inst.comm_mem_u0.o_img_row00\[15\],179.65µm
_03427_,179.11µm
net56,179.01µm
_03606_,178.85µm
net407,178.835µm
net125,178.76µm
net238,178.51µm
net590,178.46µm
cnn_inst.comm_mem_u0.o_img_row05\[11\],178.22µm
cnn_inst.comm_mem_u0.o_img_row06\[24\],178.19µm
_06111_,178.1µm
net312,177.89µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[0\],177.73µm
net70,177.69µm
_04131_,177.645µm
net856,177.56µm
cnn_inst.comm_mem_u0.o_img_row02\[6\],177.51µm
_03074_,177.475µm
net155,177.275µm
_06560_,176.81µm
net61,176.585µm
net501,176.53µm
net824,176.1µm
net785,175.835µm
net48,175.735µm
net488,175.345µm
_03433_,175.325µm
net619,175.275µm
net320,175.165µm
_03104_,175.005µm
_02609_,174.585µm
net225,174.58µm
cnn_inst.comm_mem_u0.o_img_row08\[22\],174.435µm
net423,174.39µm
_04178_,174.295µm
_03711_,174.19µm
net341,174.13µm
net153,173.705µm
net397,173.5µm
_03925_,173.46µm
net73,173.255µm
_03128_,172.83µm
_01822_,172.71µm
net847,172.685µm
net173,172.49µm
net29,172.235µm
_04382_,172.1µm
_04515_,172.03µm
net492,171.89µm
net357,171.755µm
net845,171.755µm
cnn_inst.comm_mem_u0.o_img_row07\[16\],171.725µm
net63,171.72µm
net669,171.635µm
_02163_,171.61µm
_02099_,171.32µm
_06109_,171.3µm
net250,171.275µm
_03197_,171.23µm
net886,171.205µm
net303,171.17µm
net363,171.095µm
net128,171.05µm
net150,170.36µm
net239,170.215µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.window_sel\[3\],170.03µm
_03263_,169.86µm
net189,169.795µm
cnn_inst.comm_mem_u0.o_img_row07\[7\],169.745µm
net656,169.705µm
net279,169.46µm
