2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmetal1_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmetal1_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmetal1_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmetal1_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmetal1_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmet1l_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmet1l_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmet1l_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmet1l_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphmet1l_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : extblock_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : nldd_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : pldd_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : next_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : pext_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : nexthv_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : pexthv_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphgate_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : sinwg_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : sinwg_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : sinwg_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : mempad_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topvia1_drw has 1878 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_drw has 15 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_pin has 14 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_text has 14 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_res has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal1_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : inldpwl_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : polyres_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : polyres_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : vmim_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : nbulaycut_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : antmetal1_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topvia2_drw has 98 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_drw has 14 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_pin has 14 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_text has 14 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_res has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : topmetal2_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : snsring_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : sensor_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : snsarms_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : snscmosvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : colwind_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : flm_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : hafniumox_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : memvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : thinfilmres_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : rfmem_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m2m3 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m2m4 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m2m5 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m2tm1 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m2tm2 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m3m4 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m3m5 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m3tm1 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m3tm2 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m4m5 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m4tm1 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m4tm2 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m5tm1 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m5tm2 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_tm1tm2 has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m1sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m2sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m3sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m4sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_m5sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_tm1sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : norcx_tm2sub has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : snsbotvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : snstopvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : deepvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : fgetch_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : ctrgat_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : fgimp_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : emwihv_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : lbe_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : alcustop_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : nometfiller_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : prboundary_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange0_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange0_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange0_text has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange1_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange1_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange1_text has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange2_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange2_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange2_text has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : exchange3_drw has 0 polygons
